item_type,brand,name,price,quantity,size,color,rpm,airflow,noise_level,pwm
fan,NZXT, F140 RGB,116.95,44,140,Black,"500,1800","24.85,89.48","20,32.5",true
fan,Corsair, iCUE ML RGB ELITE Premium 3-Pack,256.73,32,120,Black,"450,2000","14.86,58.1","10,30.4",true
fan,Thermalright, TL-M12-S,34.19,50,120,Black,1500,47.6,23.2,true
fan,be quiet!, Pure Wings 3,51.56,47,140,Black,1800,72.2,30.5,true
fan,Noctua, R8 redux-1800 PWM,56.11,42,80,Black / Gray,"325,1800",31.37,17.1,true
fan,Corsair, LL120,151.61,57,120,White,2200,63,36,true
fan,Lian Li, UNI FAN AL140 V2,134.28,34,140,Black,"250,1600",81.3,26.8,true
fan,Lian Li, UNI FAN TL 120 3-Pack,441.92,59,120,White,"200,2600",90.1,33,false
fan,Thermalright, TL-C12B-S V3,31.15,51,120,Black,1500,66.17,25.6,true
fan,NZXT, AER RGB 2,194.94,10,140,Black,"500,1500","30.39,91.19","22,33",true
fan,Asus, ROG STRIX XF,108.24,12,120,Black,1800,62.5,22.5,true
fan,NZXT, F140Q,116.9,4,140,Black,"500,1200","42.92,101","18,23",true
fan,Asus, TUF GAMING TF120 ARGB White 3in1 3-Pack,216.61,11,120,White,"250,1900",76,29,true
fan,be quiet!, Light Wings PWM high-speed,103.69,36,120,Black,2500,52.3,31,true
fan,Thermalright, TL-C12 D6,26.82,5,120,Gray,1500,66.17,25.6,true
fan,Thermaltake, CT120 2-Pack,95.28,37,120,Black,"500,2000",57.05,25.8,true
fan,ARCTIC, P14,47.62,48,140,Black,1700,72.8,22.5,false
fan,Phanteks, M25-140 PWM D-RGB,77.91,55,140,Black,"500,1800",104.62,36.57,true
fan,Lian Li, UNI FAN P28,86.18,56,120,Black,"200,2600","44.94,92","20.4,32.1",true
fan,Thermaltake, CT140 ARGB Sync 2-Pack,194.9,50,140,Black,"500,1500",77.37,30.5,true
fan,Corsair, iCUE SP RGB ELITE,108.28,0,120,White,"400,1500",47.73,28,true
fan,ARCTIC, P12 PST,64.95,45,120,Black / Translucent Black,"200,1800",56.3,,true
fan,be quiet!, Light Wings 3-Pack,237.88,20,120,White,2500,52.3,31,true
fan,NZXT, Aer F,38.74,35,140,Black,,"34.48,103.43","21,35",true
fan,ARCTIC, F12 PST,43.29,10,120,Black,"230,1350",53,22.5,true
fan,Phanteks, M25-120 PWM D-RGB 3-Pack,129.95,22,120,White,"500,2000",84.26,35.7,true
fan,Corsair, iCUE AF140 RGB ELITE 2-Pack,303.22,51,140,White,"500,1700","19.5,89","5,33.8",true
fan,Cooler Master, MasterFan MF Halo,95.28,55,120,Black,"650,1800",47.2,"6,30",true
fan,Corsair, iCUE QL120,129.95,27,120,Black,"525,1500",41.8,26,true
fan,ARCTIC, P PST,73.57,42,140,White,"200,1900",68.9,22.5,true
fan,ARCTIC, F12 PST 5-Pack,127.0,49,120,Black,"230,1350",53,22.5,true
fan,be quiet!, Pure Wings 3,38.56,13,120,Black,1600,49.9,25.5,true
fan,Noctua, A14 industrialPPC-2000 IP67 PWM,138.44,20,140,Brown / Black,"500,2000",107.41,31.5,true
fan,Lian Li, UNI FAN AL140 V2,103.95,14,140,White,"250,1600",81.3,26.8,true
fan,Noctua, F12 industrialPPC-2000 PWM,121.11,47,120,Brown / Black,"450,2000",71.69,29.7,true
fan,Thermaltake, TOUGHFAN 2-Pack,175.83,48,140,Black,"500,2000",119.1,"25.2,33.2",true
fan,Thermaltake, CT140 2-Pack,129.95,58,140,Black,"500,1500",77.37,,true
fan,Thermalright, TL-C12C,28.55,57,120,Black,1550,66.17,25.6,true
fan,Corsair, iCUE AF120 RGB SLIM,129.95,17,120,White,"600,2000","13.4,56.3",27.5,true
fan,NZXT, F140Q,116.9,39,140,White,"500,1200","42.92,101","18,23",true
fan,Cooler Master, MasterFan MF Halo 3-Pack,312.84,36,120,White,"650,1800",47.2,"6,30",true
fan,Lian Li, Uni Fan SL 2-Pack,361.07,35,140,White,"500,1500",70.5,30,true
fan,Fractal Design, Aspect 12 RGB PWM 3-Pack,212.27,14,120,Black,"500,2000","13,56","10,33.2",true
fan,NZXT, F140 RGB DUO 2-Pack,316.31,49,140,Black,"500,1800",84.75,36,true
fan,Noctua, A8 PWM chromax.black.swap,175.23,44,80,Black / Multicolor,"450,2200",32.67,17.7,true
fan,Noctua, A9 PWM chromax.black.swap,119.94,28,92,Black / Multicolor,"400,2000",46.44,22.8,true
fan,Thermalright, TL-M12,34.62,11,120,Black,1500,47.6,23.2,true
fan,ID-COOLING, ZF,73.57,44,120,Pink / White,"900,2000",,"16.3,33.5",true
fan,Thermaltake, TOUGHFAN 2-Pack,129.95,58,120,Black,"500,2000",58.35,22.3,true
fan,MSI, MPG F120 ARGB-2B 2-Pack,155.99,54,120,Black,"600,1200",50.79,25.7,true
fan,Lian Li, Uni Fan SL 2-Pack,489.63,33,140,Black,"500,1500",70.5,30,true
fan,Deepcool, CF120 Plus 3-Pack,151.61,43,120,Black / White,"500,1800",52.5,28.8,true
fan,Corsair, iCUE SP140 RGB ELITE,129.95,11,140,Black / White,"450,1200",,,true
fan,ARCTIC, P14 PST CO,60.23,34,140,Black,"200,1700",72.8,22.5,true
fan,Corsair, iCUE LINK RX140 2-Pack,346.55,27,140,Black / White,1700,"18.1,95.7","10,36",false
fan,be quiet!, Silent Wings 4,77.52,36,120,Black,1600,48.7,18.9,true
fan,be quiet!, Light Wings PWM high-speed,107.89,31,140,Black,2200,71.7,31,true
fan,Noctua, A14 industrialPPC-2000 PWM,129.77,21,140,Brown / Black,"500,2000",107.41,31.5,true
fan,be quiet!, Pure Wings 2,34.23,8,120,Black,2000,65.51,36.9,true
fan,ARCTIC, P12 PST CO,49.7,6,120,Black,"200,1800",56.3,,true
fan,Noctua, S12A PWM,95.11,1,120,Brown,"300,1200",,"10.7,17.8",true
fan,Thermaltake, CT140 ARGB Sync 2-Pack,194.9,12,140,White,"500,1500",77.37,30.5,true
fan,Montech, AX,64.56,54,140,Black,"600,1600",90.5,27.9,true
