item_type,brand,name,price,quantity,rpm,noise_level,color,size
cooler,ARCTIC, Freezer 36,142.95,32,"200,1800",,Black / Silver,
cooler,MSI, MAG CORELIQUID P240,324.98,6,"500,2000","14.3,34.3",Black,240.0
cooler,Corsair, iCUE LINK H170i LCD,1061.54,50,"400,2000",,Black,420.0
cooler,ID-COOLING, FROSTFLOW X,259.94,28,"800,1600","16.8,32.6",Black / Silver,280.0
cooler,Noctua, NH-D12L,389.75,28,"450,2000","18.8,22.6",Beige / Brown,
cooler,be quiet!, Dark Rock Elite,432.87,44,"1500,2000","11,25.8",Black,
cooler,ARCTIC, Liquid Freezer III A-RGB,554.58,53,"200,1900",,Black,280.0
cooler,Thermalright, Frozen Prism ARGB,207.55,17,1850,27,White,240.0
cooler,Thermalright, Assassin X Refined SE,81.85,35,1550,25.6,White / Silver,
cooler,ARCTIC, Freezer 7 X,99.62,40,"300,2000",22.5,Black / White,
cooler,EK, Nucleus AIO CR360 Dark,1030.26,17,"550,2300",36,Black,360.0
cooler,Corsair, iCUE H100i ELITE LCD XT,953.22,5,"550,2100","5,34.1",Black,240.0
cooler,Lian Li, Galahad II Trinity,505.79,42,2450,35.4,Black,240.0
cooler,Asus, ROG STRIX LC II ARGB,628.24,12,"800,2500",37.6,White / Black,360.0
cooler,Corsair, iCUE H150i RGB ELITE,714.9,6,"400,1850","5,28.9",White,360.0
cooler,Noctua, NH-U12S,324.76,44,"300,1500","18.6,22.4",,
cooler,Corsair, H100i v2,1346.78,55,2435,37.7,,240.0
cooler,Deepcool, AK400 DIGITAL WH,203.56,2,"500,1850",28,White,
cooler,Vetroo, V240,259.94,32,1800,30.8,Black,240.0
cooler,Deepcool, AK500 DIGITAL,255.56,15,"500,1850",28,Black,
cooler,Noctua, NH-D12L CHROMAX.BLACK,432.87,38,"450,2000","18.8,22.6",Black,
cooler,be quiet!, Pure Loop 2 FX,389.54,55,,"8,32.3",Black,240.0
cooler,Phanteks, GLACIER ONE 360D30,779.9,9,"250,2000",30.2,Black,360.0
cooler,Thermalright, Assassin Spirit 120 EVO WHITE ARGB,90.56,2,1850,27,White,
cooler,Corsair, H150i PRO,1610.14,16,1600,25,,360.0
cooler,Asus, ROG Ryujin III,1299.86,30,"450,2000",29.7,Black,360.0
cooler,Corsair, iCUE H115i ELITE CAPELLIX XT,736.57,31,"500,1700","5,33.8",Black,280.0
cooler,Lian Li, Galahad II Trinity Performance,693.24,2,"2300,3000","32.1,39.9",White,360.0
cooler,Lian Li, GALAHAD AIO 360 RGB,1126.36,40,"800,1900",,White / Silver,360.0
cooler,Thermalright, AXP90-X53 FULL,207.55,3,2700,22.4,Copper / Orange,
