item_type,brand,name,price,quantity,socket,form_factor,max_memory,memory_slots,color
mobo,Gigabyte, Z790 AORUS MASTER,1906.48,31,LGA1700,EATX,192,4,Black / Silver
mobo,Gigabyte, B450 AORUS ELITE V2,549.47,46,AM4,ATX,128,4,Black
mobo,Asus, ROG CROSSHAIR X670E GENE,2854.28,9,AM5,Micro ATX,96,2,Black / Silver
mobo,Gigabyte, Z790 AORUS XTREME X,6984.36,56,LGA1700,EATX,192,4,Black
mobo,ASRock, Z790 Taichi Lite,1481.84,39,LGA1700,EATX,192,4,Black / Gray
mobo,Asus, TUF GAMING B650M-E WIFI,985.89,30,AM5,Micro ATX,192,4,Black
mobo,Asus, TUF GAMING Z690-PLUS WIFI,953.22,47,LGA1700,ATX,192,4,Black / Gray
mobo,ASRock, Z690 Phantom Gaming 4/D5,563.25,40,LGA1700,ATX,192,4,Black / Silver
mobo,Asus, PRIME Z490-P,866.56,39,LGA1200,ATX,128,4,Black / Silver
mobo,ASRock, B650E STEEL LEGEND WIFI,866.56,52,AM5,ATX,192,4,Black / Silver
mobo,ASRock, B760 Pro RS/D4,647.78,47,LGA1700,ATX,128,4,Silver / Black
mobo,MSI, PRO B760M-P,613.25,38,LGA1700,Micro ATX,192,4,Black
mobo,MSI, MEG Z690 UNIFY,866.56,14,LGA1700,ATX,192,4,Black / Silver
mobo,Asus, PRIME A520M-K,423.98,55,AM4,Micro ATX,64,2,Black / Silver
