item_type,name,price,capacity,cache,form_factor,interface
SSD,Silicon Power P34A60,264.27,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Intel 670p,374.24,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Corsair MP700,1078.87,2000.0,,M.2-2280,M.2 PCIe 5.0 X4
SSD,Kingston A400,121.28,120.0,,2.5,SATA 6.0 Gb/s
SSD,MSI SPATIUM M450,181.9,500.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Silicon Power A60,454.92,2000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Western Digital Black SN850X w/Heatsink,481.4,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Intel DC P3600,6031.54,1600.0,,PCIe,PCIe x4
SSD,TEAMGROUP MP44,324.89,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Crucial P2,389.93,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,TEAMGROUP T-Force Vulcan Z,866.56,4000.0,,2.5,SATA 6.0 Gb/s
SSD,TEAMGROUP MP33 PRO,281.56,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Western Digital Black SN750,216.61,500.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Silicon Power A55,251.27,1000.0,,2.5,SATA 6.0 Gb/s
SSD,Patriot P310,155.94,480.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Silicon Power A55,424.59,2000.0,,2.5,SATA 6.0 Gb/s
SSD,Samsung 870 QVO,346.55,1000.0,,2.5,SATA 6.0 Gb/s
SSD,Gigabyte AORUS Gen4 7300,908.63,2000.0,2048.0,M.2-2280,M.2 PCIe 4.0 X4
SSD,Western Digital Black SN770,216.61,250.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Corsair MP700 PRO w/Heatsink,2556.43,4000.0,,M.2-2280,M.2 PCIe 5.0 X4
SSD,Leven JM600,238.27,1000.0,,M.2-2280,M.2 SATA
SSD,Inland TN450,303.22,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Kingston Fury Renegade,1449.48,4000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,PNY CS900,160.28,500.0,,2.5,SATA 6.0 Gb/s
SSD,SanDisk SSD PLUS,324.93,1000.0,,2.5,SATA 6.0 Gb/s
SSD,Patriot P210,86.57,256.0,,2.5,SATA 6.0 Gb/s
SSD,FanXiang S500 Pro,168.94,512.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Corsair MP700 PRO,779.9,1000.0,,M.2-2280,M.2 PCIe 5.0 X4
SSD,Patriot Viper VP4300 Lite,519.92,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Kingston KC600,146.67,256.0,,2.5,SATA 6.0 Gb/s
SSD,Crucial P2,340.36,500.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Western Digital Green SN350,259.94,960.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Intel 660p,324.98,1020.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,TEAMGROUP GX2,142.95,512.0,,2.5,SATA 6.0 Gb/s
SSD,Crucial P1,472.3,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Silicon Power US75,931.55,4000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Lexar NM620,186.28,512.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Mushkin Helix-L,164.61,512.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Silicon Power A55,151.61,512.0,,2.5,SATA 6.0 Gb/s
SSD,PNY CS1030,324.89,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
