item_type,brand,name,price,type,efficiency,wattage,modular,color
psu,Thermaltake, Smart BX1,324.89,ATX,bronze,750,false,Black
psu,GameMax, GX Pro Rampage,372.59,ATX,gold,850,Full,Black
psu,be quiet!, SFX L Power,565.59,SFX,gold,600,Full,
psu,Deepcool, PX850G,498.25,ATX,gold,850,Full,Black
psu,SeaSonic, S12III,280.82,ATX,bronze,500,false,Black
psu,SeaSonic, PRIME TX-1600 ATX 3.0,2252.38,ATX,titanium,1600,Full,Black / Silver
psu,Gigabyte, P550B,342.22,ATX,bronze,550,false,Black
psu,Asus, TUF Gaming B,220.94,ATX,bronze,450,false,Black
psu,Thermaltake, Toughpower GF A3 - TT Premium Edition,389.93,ATX,gold,750,Full,Black
psu,Corsair, CX550 (2017),727.38,ATX,bronze,550,false,
psu,Cooler Master, G700,303.27,ATX,gold,700,false,Black
psu,SeaSonic, PRIME TX-1300 ATX 3.0,2153.41,ATX,titanium,1300,Full,Black / Silver
psu,Corsair, SF600,931.6,SFX,platinum,600,Full,Black
psu,Gigabyte, UD-GM PG5,541.58,ATX,gold,850,Full,White
psu,EVGA, 750 N1,274.97,ATX,,750,false,
psu,Deepcool, PX1000G WH,667.2,ATX,gold,1000,Full,White
psu,EVGA, 650 GQ,411.42,ATX,gold,650,Semi,
psu,Asus, TUF Gaming 750G,433.26,ATX,gold,750,Full,Black
psu,Gigabyte, P850GM,563.25,ATX,gold,850,Full,Black
psu,Antec, NeoECO Gold,603.93,ATX,gold,750,Full,
psu,be quiet!, SFX L Power,558.26,SFX,gold,500,Full,
psu,Corsair, RM1200x SHIFT,1039.88,ATX,gold,1200,Full / Side,White
psu,EVGA, 600 W1,263.92,ATX,plus,600,false,
psu,SeaSonic, VERTEX GX-1000,736.57,ATX,gold,1000,Full,Black / Silver
psu,EVGA, 850 BQ,404.31,ATX,bronze,850,Semi,
psu,Silverstone, SFX,944.51,SFX,titanium,800,Full,
psu,EVGA, SuperNOVA 850G XC,433.26,ATX,gold,850,Full,Black
psu,Corsair, HX1000i,1571.23,ATX,platinum,1000,Full,
psu,SeaSonic, VERTEX PX-1200,1278.23,ATX,platinum,1200,Full,Black / Silver
psu,Corsair, RM850x (2018),757.76,ATX,gold,850,Full,Black
psu,Silverstone, SX500-G,467.92,SFX,gold,500,Full,
psu,EVGA, SuperNOVA 1600 G2,2599.76,ATX,gold,1600,Full,
