item_type,brand,name,price,quantity,core_count,core_clock,boost_clock,tdp,graphics,smt
cpu,Intel, Core i5-12600,1460.7,29,6,3.3,4.8,65,Intel UHD Graphics 770,true
cpu,Intel, Pentium Gold G7400,445.13,5,2,3.7,,46,Intel UHD Graphics 710,true
cpu,Intel, Pentium G640,129.99,4,2,2.8,,65,Intel HD Graphics,false
cpu,Intel, Core i9-9900K,3033.06,29,8,3.6,5.0,95,Intel UHD Graphics 630,true
cpu,Intel, Core i5-11600,606.62,6,6,2.8,4.8,65,Intel UHD Graphics 750,true
cpu,AMD, Athlon X4 845,216.65,8,4,3.5,3.8,65,,false
cpu,Intel, Core 2 Duo E8400,119.37,33,2,3.0,,65,,false
cpu,Intel, Core i7-4930K,433.3,14,6,3.4,3.9,130,,true
cpu,AMD, Threadripper 1950X,3961.62,57,16,3.4,4.0,180,,true
cpu,Intel, Core i9-12900F,1876.15,35,16,2.4,5.1,65,,true
cpu,Intel, Core i5-9500,696.49,26,6,3.0,4.4,65,Intel UHD Graphics 630,false
cpu,Intel, Xeon E5-2640 V3,290.96,7,8,2.6,3.4,90,,true
cpu,Intel, Celeron G4930,211.23,24,2,3.2,,54,Intel UHD Graphics 610,false
cpu,Intel, Core i9-10900X,2664.8,32,10,3.7,4.7,165,,true
cpu,Intel, Core i3-9100,628.28,23,4,3.6,4.2,65,Intel UHD Graphics 630,false
cpu,AMD, 2650,367.05,3,2,1.45,,25,Radeon HD 8240,false
cpu,Intel, Core i3-4150,178.22,39,2,3.5,,54,Intel HD Graphics 4400,true
cpu,Intel, Core i9-10900,1194.61,38,10,2.8,5.2,65,Intel UHD Graphics 630,true
cpu,Intel, Core i9-12900,1984.51,21,16,2.4,5.1,65,Intel UHD Graphics 770,true
cpu,Intel, Core i9-7960X,1505.63,38,16,2.8,4.4,165,,true
cpu,Intel, Celeron 420,326.88,41,1,1.6,,35,,false
cpu,AMD, Threadripper 2950X,4657.98,40,16,3.5,4.4,180,,true
cpu,Intel, Core i5-11500,633.31,33,6,2.7,4.6,65,Intel UHD Graphics 750,true
cpu,Intel, Core i9-9900,2011.16,53,8,3.1,5.0,65,Intel UHD Graphics 630,true
cpu,Intel, Core i5-7500T,293.04,29,4,2.7,3.3,35,Intel HD Graphics 630,false
cpu,Intel, Core i7-8086K,1949.89,28,6,4.0,5.0,95,Intel UHD Graphics 630,true
cpu,Intel, Core i7-8700,2647.68,45,6,3.2,4.6,65,Intel UHD Graphics 630,true
cpu,AMD, FX-8320,758.28,20,8,3.5,,125,,false
cpu,Intel, Pentium E5700,86.57,37,2,3.0,,65,,false
cpu,Intel, Core i9-7900X,1733.2,38,10,3.3,4.5,140,,true
cpu,Intel, Core i7-2700K,385.64,57,4,3.5,,95,Intel HD Graphics 3000,true
cpu,Intel, Core i7-7700,1429.67,8,4,3.6,4.2,65,Intel HD Graphics 630,true
cpu,Intel, Core i5-8400,1083.03,29,6,2.8,4.0,65,Intel UHD Graphics 630,false
cpu,Intel, Core i7-7740X,1018.26,28,4,4.3,4.5,112,,true
cpu,Intel, Xeon E5-1650 V4,368.05,0,6,3.6,4.0,140,,true
cpu,Intel, Core i7-7800X,2123.13,2,6,3.5,4.0,140,,true
cpu,Intel, Pentium Gold G6400,324.93,0,2,4.0,,58,Intel UHD Graphics 610,true
cpu,Intel, Core i9-10940X,3379.74,24,14,3.3,4.8,165,,true
cpu,Intel, Core i5-4440,433.3,30,4,3.1,3.3,84,Intel HD Graphics 4600,false
cpu,Intel, Core i5-4670,223.06,17,4,3.4,,84,Intel HD Graphics 4600,false
cpu,Intel, Celeron E3500,64.95,26,2,2.7,,65,,false
cpu,Intel, Core i5-8600,816.25,55,6,3.1,4.3,65,Intel UHD Graphics 630,false
cpu,Intel, Core i9-9900K (Standard Folding Box),1763.36,49,8,3.6,5.0,95,Intel UHD Graphics 630,true
cpu,Intel, Xeon E5-2667 V3,4371.69,9,8,3.2,3.6,135,,true
cpu,Intel, Core i9-11900,1169.87,57,8,2.5,5.2,65,Intel UHD Graphics 750,true
cpu,AMD, FX-9590,1311.08,31,8,4.7,5.0,220,,false
cpu,AMD, Ryzen 3 1200 (12nm),454.96,58,4,3.1,3.4,65,,false
cpu,AMD, Ryzen 5 3600,1138.97,47,6,3.6,4.2,65,,true
cpu,Intel, Core i3-2100,212.32,21,2,3.1,,65,Intel HD Graphics 2000,true
cpu,Intel, Xeon E5-2683 V4,823.05,31,16,2.1,3.0,120,,true
cpu,Intel, Celeron G3900,172.89,46,2,2.8,,51,Intel HD Graphics 510,false
cpu,Intel, Core i7-6850K,498.3,12,6,3.6,3.8,140,,true
cpu,Intel, Core i9-7980XE,5009.81,59,18,2.6,4.4,165,,true
cpu,AMD, FX-8370,1018.17,21,8,4.0,4.3,125,,false
cpu,AMD, Threadripper 2970WX,4766.26,13,24,3.0,4.2,250,,true
cpu,Intel, Core i7-9700F,1713.01,31,8,3.0,4.7,65,,false
cpu,Intel, Core i7-4820K,891.99,19,4,3.7,3.9,130,,true
cpu,AMD, Threadripper 2920X,3066.9,16,12,3.5,4.3,180,,true
cpu,AMD, A4-6300,202.74,7,2,3.7,3.9,65,Radeon HD 8370D,false
cpu,Intel, Pentium G4560,578.07,35,2,3.5,,54,Intel HD Graphics 610,true
cpu,AMD, FX-8300,508.39,48,8,3.3,,95,,false
cpu,Intel, Core i3-2120,652.51,37,2,3.3,,65,Intel HD Graphics 2000,true
cpu,Intel, Core i5-9400,476.63,14,6,2.9,4.1,65,Intel UHD Graphics 630,false
cpu,Intel, Core i5-3470S,216.65,6,4,2.9,,65,Intel HD Graphics 2500,false
cpu,Intel, Core i7-6950X,2194.01,57,10,3.0,3.5,140,,true
cpu,Intel, Core i9-10920X,3462.07,0,12,3.5,4.8,165,,true
cpu,Intel, Xeon E5-2630 V3,736.39,55,8,2.4,3.2,85,,true
cpu,Intel, Pentium G2020,151.61,9,2,2.9,,55,Intel HD Graphics,false
cpu,Intel, Pentium Gold G5400,316.09,23,2,3.7,,58,Intel UHD Graphics 610,true
cpu,Intel, Core i9-9980XE,6494.95,46,18,3.0,4.4,165,,true
