item_type,brand,name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
ram,TEAMGROUP, Elite 32 GB,229.61,"4,3200","2,16",1.656,Black,13.75,22.0
ram,Kingston, FURY Beast 16 GB,344.26,"5,5600","2,8",4.966,Black / Silver,12.857,36.0
ram,Patriot, Viper Venom 32 GB,450.59,"5,6400","2,16",3.25,Black / White,10.0,32.0
ram,Corsair, Vengeance RGB 32 GB,489.59,"5,6400","2,16",3.531,Black,11.25,36.0
ram,Corsair, Vengeance 32 GB,424.59,"5,4800","2,16",3.062,Black,16.667,40.0
ram,Corsair, Vengeance RGB 32 GB,476.59,"5,5200","2,16",3.437,Black,15.385,40.0
ram,Silicon, Power XPOWER Turbine 32 GB,223.11,"4,3200","2,16",1.609,Blue,10.0,16.0
ram,Corsair, Vengeance RGB Pro 16 GB,229.61,"4,3600","2,8",3.312,Black,10.0,18.0
ram,G.Skill, Ripjaws V 32 GB,294.6,"4,3600","2,16",2.125,Black,10.0,18.0
ram,G.Skill, Ripjaws S5 32 GB,476.59,"5,6400","2,16",3.437,Black,10.0,32.0
ram,G.Skill, Ripjaws S5 64 GB,844.89,"5,5600","2,32",3.047,Black,10.0,28.0
ram,TEAMGROUP, T-Force Delta RGB 64 GB,801.56,"5,6000","2,32",2.89,White / Silver,12.667,38.0
ram,G.Skill, Trident Z5 RGB 48 GB,1733.16,"5,8400","2,24",8.333,White,9.524,40.0
ram,Corsair, Dominator Titanium 64 GB,1559.84,"5,6400","4,16",5.625,White,10.0,32.0
ram,ADATA, XPG Lancer Blade RGB 32 GB,641.41,"5,6400","2,16",4.626,Black,10.0,32.0
ram,Corsair, Vengeance RGB 64 GB,987.88,"5,6400","2,32",3.562,Black / Gray,10.0,32.0
ram,G.Skill, Trident Z5 Neo RGB 32 GB,541.58,"5,6000","2,16",3.906,Silver / Black,10.0,30.0
ram,TEAMGROUP, T-Force Vulcan Z 16 GB,151.61,"4,3200","2,8",2.187,Gray,10.0,16.0
ram,Crucial, Classic 16 GB,242.6,"5,5600","2,8",3.499,Black,16.429,46.0
ram,G.Skill, Ripjaws V 32 GB,324.93,"4,4000","2,16",2.343,Black,9.0,18.0
ram,Silicon, Power SP016GLLTU160N22 16 GB,77.91,"3,1600","2,8",1.124,Green,13.75,11.0
ram,TEAMGROUP, T-Create Expert 32 GB,411.59,"5,6000","2,16",2.968,Black,12.667,38.0
ram,Kingston, HyperX Fury 8 GB,220.94,"4,2666","1,8",6.374,Black,12.003,16.0
ram,Corsair, Vengeance 32 GB,541.58,"5,6000","2,16",3.906,Black / Silver,10.0,30.0
ram,Corsair, Vengeance RGB 32 GB,589.24,"5,6000","2,16",4.25,White / Silver,10.0,30.0
ram,KingBank, SharpBlade 32 GB,376.93,"5,6000","2,16",2.718,Black,12.0,36.0
ram,Patriot, Viper Venom 32 GB,424.59,"5,6000","2,16",3.062,Black / White,12.0,36.0
ram,TEAMGROUP, T-Force Delta RGB 32 GB,528.58,"5,7200","2,16",3.812,White / Gray,9.444,34.0
ram,Corsair, Dominator Platinum RGB 64 GB,1516.51,"5,6600","4,16",5.469,Black,9.697,32.0
ram,Corsair, Vengeance 192 GB,2729.75,"5,5200","4,48",3.281,Black,14.615,38.0
ram,Kingston, FURY Beast 16 GB,279.0,"5,5200","2,8",4.024,Black,15.385,40.0
ram,Corsair, Vengeance LPX 64 GB,619.58,"4,3600","2,32",2.234,Black,10.0,18.0
ram,Crucial, CT8G48C40U5 8 GB,99.62,"5,4800","1,8",2.874,Black,16.667,40.0
ram,Silicon, Power XPOWER Zenith Gaming 32 GB,376.93,"5,6000","2,16",2.718,Black,10.0,30.0
ram,G.Skill, Aegis 32 GB,285.89,"4,3200","2,16",2.062,Red / Black,10.0,16.0
ram,TEAMGROUP, Elite 32 GB,329.22,"5,4800","2,16",2.374,Black,16.667,40.0
ram,G.Skill, Trident Z5 RGB 48 GB,1083.21,"5,8000","2,24",5.208,Black,10.0,40.0
ram,TEAMGROUP, T-Create Expert 64 GB,801.56,"5,6000","2,32",2.89,Black,11.333,34.0
ram,Corsair, Vengeance RGB 32 GB,541.58,"5,6000","2,16",3.906,Black / Gray,10.0,30.0
ram,ADATA, XPG Lancer Blade RGB 32 GB,476.59,"5,6000","2,16",3.437,Black,10.0,30.0
ram,Corsair, Vengeance LPX 16 GB,194.9,"4,3000","2,8",2.811,Black / Yellow,10.0,15.0
ram,Kingston, Server Premier 64 GB,764.73,"4,3200","1,64",2.758,,13.75,22.0
ram,Crucial, CT8G4DFRA32A 8 GB,86.57,"4,3200","1,8",2.498,Green,13.75,22.0
ram,Corsair, Dominator Titanium 32 GB,727.9,"5,6000","2,16",5.25,Black,10.0,30.0
ram,Kingston, FURY Beast RGB 64 GB,974.88,"5,6000","2,32",3.515,Black,12.0,36.0
ram,Corsair, Vengeance 64 GB,749.57,"5,5600","2,32",2.703,Black,14.286,40.0
ram,G.Skill, Ripjaws V 16 GB,173.28,"4,3600","2,8",2.499,Black,10.0,18.0
ram,Corsair, Vengeance RGB Pro 64 GB,823.23,"4,3600","4,16",2.969,Black,10.0,18.0
ram,Corsair, Vengeance 32 GB,693.24,"5,7200","2,16",5.0,Gray,9.444,34.0
ram,TEAMGROUP, T-Force Vulcan 32 GB,381.26,"5,5200","2,16",2.75,Black,15.385,40.0
ram,Klevv, BOLT V 32 GB,428.92,"5,6000","2,16",3.093,Black,10.0,30.0
ram,Corsair, Vengeance 32 GB,433.26,"5,5600","2,16",3.125,Black / Gray,14.286,40.0
ram,Kingston, ValueRAM 4 GB,51.95,"4,2666","1,4",2.998,Green / Black,14.254,19.0
ram,TEAMGROUP, T-Force Delta RGB 32 GB,446.26,"5,6400","2,16",3.218,Black,10.0,32.0
ram,Crucial, Pro 96 GB,1126.54,"5,5600","2,48",2.708,Black,16.429,46.0
ram,TEAMGROUP, T-Force Delta RGB 16 GB,203.61,"4,3200","2,8",2.937,White,10.0,16.0
ram,G.Skill, Trident Z RGB 16 GB,238.27,"4,3200","2,8",3.437,Black,10.0,16.0
ram,Corsair, Dominator Platinum RGB 64 GB,1299.86,"5,6800","2,32",4.687,Black,11.765,40.0
ram,G.Skill, Ripjaws S5 64 GB,888.22,"5,6400","2,32",3.203,Black,10.0,32.0
ram,Corsair, Vengeance RGB Pro 32 GB,511.25,"4,3200","4,8",3.687,Black,10.0,16.0
ram,Corsair, Vengeance RGB 32 GB,454.75,"5,5600","2,16",3.28,Black / Gray,14.286,40.0
ram,G.Skill, Trident Z RGB 32 GB,359.55,"4,3600","2,16",2.593,Black,10.0,18.0
ram,Corsair, Vengeance 96 GB,1473.18,"5,6000","2,48",3.542,Black / Silver,10.0,30.0
ram,Samsung, Green 8 GB,60.66,"4,2133","1,8",1.75,Green / Black,14.065,15.0
ram,ADATA, XPG SPECTRIX D50 16 GB,238.27,"4,3200","2,8",3.437,White,10.0,16.0
ram,TEAMGROUP, T-Create Expert 32 GB,264.27,"4,3600","2,16",1.906,Gray,10.0,18.0
ram,Corsair, Vengeance 32 GB,446.26,"5,5200","2,16",3.218,White,15.385,40.0
ram,TEAMGROUP, T-Force Delta RGB 64 GB,801.56,"5,6000","2,32",2.89,Black / Silver,12.667,38.0
ram,Corsair, Dominator Titanium 64 GB,1256.53,"5,6000","2,32",4.531,White,10.0,30.0
ram,Corsair, Vengeance RGB 32 GB,511.25,"5,6000","2,16",3.687,White / Silver,12.0,36.0
ram,TEAMGROUP, Elite 16 GB,138.61,"4,3200","2,8",1.999,Black,13.75,22.0
ram,Kingston, FURY Beast 16 GB,212.32,"4,3600","2,8",3.062,Black,9.444,17.0
ram,Kingston, FURY Beast 128 GB,1932.08,"5,5600","4,32",3.484,White,14.286,40.0
ram,Samsung, M378A1K43CB2-CRC 8 GB,67.16,"4,2400","1,8",1.938,Green,14.167,17.0
ram,G.Skill, Trident Z5 RGB 32 GB,714.9,"5,7600","2,16",5.156,Black,9.474,36.0
ram,Kingston, ValueRAM 4 GB,97.93,"4,3200","1,4",5.65,Green,13.75,22.0
ram,Corsair, Vengeance RGB 32 GB,693.24,"5,7200","2,16",5.0,Black,9.444,34.0
ram,G.Skill, Trident Z5 Neo RGB 32 GB,476.59,"5,6400","2,16",3.437,,10.0,32.0
ram,TEAMGROUP, T-Force Delta RGB 32 GB,451.85,"5,6000","2,16",3.259,Black,12.667,38.0
ram,Corsair, Vengeance 32 GB,498.25,"5,6000","2,16",3.593,Black,12.0,36.0
ram,Patriot, Viper Elite 5 RGB 32 GB,433.26,"5,6200","2,16",3.125,White,13.548,42.0
ram,Crucial, Pro 64 GB,506.92,"4,3200","2,32",1.828,Black / Green,13.75,22.0
ram,G.Skill, Trident Z5 RGB 32 GB,823.23,"5,7800","2,16",5.937,Black,9.231,36.0
ram,G.Skill, Trident Z RGB 128 GB,1278.19,"4,3600","4,32",2.305,Black,10.0,18.0
ram,G.Skill, Trident Z5 Neo RGB 64 GB,931.55,"5,6000","2,32",3.359,Silver / Black,10.0,30.0
ram,TEAMGROUP, T-Create Expert 32 GB,411.59,"5,6400","2,16",2.968,White,10.0,32.0
ram,Corsair, Vengeance RGB 96 GB,1516.51,"5,6000","2,48",3.646,Black / Silver,10.0,30.0
ram,G.Skill, Ripjaws V 32 GB,368.26,"4,4400","2,16",2.656,Black,8.636,19.0
ram,KingBank, SharpBlade RGB 32 GB,424.59,"5,6400","2,16",3.062,White,10.0,32.0
ram,Patriot, Viper Venom 32 GB,489.59,"5,7000","2,16",3.531,Black / White,9.143,32.0
ram,Corsair, Vengeance LPX 16 GB,194.94,"4,2666","2,8",2.812,White,12.003,16.0
ram,Samsung, M378A2K43CB1-CTD 16 GB,129.99,"4,2666","1,16",1.875,Green / Black,14.254,19.0
ram,Corsair, Vengeance 16 GB,281.56,"5,5200","1,16",4.061,Black,15.385,40.0
ram,TEAMGROUP, T-Create Expert 32 GB,229.61,"4,3200","2,16",1.656,Gray,10.0,16.0
ram,Corsair, Dominator Titanium 96 GB,2058.13,"5,6000","4,24",4.948,Black,10.0,30.0
ram,TEAMGROUP, T-Force Delta RGB 32 GB,433.26,"5,5600","2,16",3.125,White,11.429,32.0
ram,Corsair, Vengeance 64 GB,736.57,"5,5200","2,32",2.656,White,15.385,40.0
ram,TEAMGROUP, T-Force Vulcan 32 GB,454.92,"5,6400","2,16",3.281,Black / Silver,10.0,32.0
ram,G.Skill, Ripjaws X 16 GB,160.28,"3,1600","2,8",2.312,Black / Red,12.5,10.0
ram,Klevv, BOLT X 16 GB,168.94,"4,3600","2,8",2.437,Black,10.0,18.0
ram,G.Skill, Aegis 16 GB,155.94,"4,3000","2,8",2.249,Black / Red,10.667,16.0
ram,G.Skill, Ripjaws S5 96 GB,1429.85,"5,6400","2,48",3.437,Black,10.0,32.0
ram,Corsair, Dominator Titanium 32 GB,866.56,"5,7200","2,16",6.25,White,9.444,34.0
ram,Kingston, FURY Beast 32 GB,511.25,"5,5600","2,16",3.687,Black,12.857,36.0
ram,Corsair, Vengeance LPX 16 GB,207.94,"4,3600","2,8",2.999,Black / Yellow,10.0,18.0
ram,Crucial, CT64G4YFQ426S 64 GB,2816.23,"4,2666","1,64",10.155,Green / Black,14.254,19.0
ram,Kingston, FURY Beast RGB 16 GB,238.27,"4,3200","2,8",3.437,Black,10.0,16.0
ram,G.Skill, Trident Z Royal 32 GB,459.25,"4,3600","2,16",3.312,Silver,10.556,19.0
ram,Patriot, Viper Steel 32 GB,294.6,"4,3200","2,16",2.125,Silver / Black,10.0,16.0
ram,TEAMGROUP, T-Create Classic 16 GB,140.78,"4,3200","2,8",2.031,Silver,13.75,22.0
ram,TEAMGROUP, Elite 16 GB,216.61,"5,4800","2,8",3.124,Black,16.667,40.0
ram,Patriot, Viper Steel 16 GB,190.61,"4,3200","2,8",2.749,Silver / Black,10.0,16.0
ram,G.Skill, Trident Z Royal 256 GB,6495.17,"4,3600","8,32",5.855,Gold,10.0,18.0
ram,Patriot, Viper 4 Blackout 64 GB,506.92,"4,3600","2,32",1.828,Black,10.0,18.0
