name,price,capacity,price_per_gb,type,cache,form_factor,interface
Crucial MX500,229.65,500.0,0.106,SSD,512.0,2.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Vulcan Z,420.26,2000.0,0.048,SSD,,2.5,SATA 6.0 Gb/s
Silicon Power UD90,311.89,1000.0,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD90,931.55,4000.0,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,1043.17,4000.0,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600 CORE XT,606.58,2000.0,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44,537.25,2000.0,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Solidigm P41 Plus,303.27,1000.0,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T705 W/Heatsink,2383.11,4000.0,0.137,SSD,,M.2-2280,M.2 PCIe 5.0 X4
MSI SPATIUM M450,324.93,1000.0,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Toshiba MK3276GSX,56.29,320.0,0.041,5400,8.0,2.5,SATA 3.0 Gb/s
Corsair MP600 CORE XT,337.89,1000.0,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD85,498.25,2000.0,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T705,1213.2,2000.0,0.14,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Crucial P5 Plus,601.2,1000.0,0.139,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,316.27,4000.0,0.018,5400,256.0,3.5,SATA 6.0 Gb/s
ADATA XPG GAMMIX S70 Blade,433.26,1000.0,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston Fury Renegade,433.26,1000.0,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Solidigm P41 Plus,511.25,2000.0,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot Burst Elite,60.62,120.0,0.117,SSD,,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,278.79,2000.0,0.032,7200,64.0,3.5,SATA 6.0 Gb/s
Samsung 990 Pro w/Heatsink,519.92,1000.0,0.12,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44,1013.88,4000.0,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM620,542.36,2000.0,0.063,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial BX500,308.25,1000.0,0.071,SSD,,2.5,SATA 6.0 Gb/s
ADATA XPG GAMMIX S70 Blade,649.91,2000.0,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Exos X18,1429.85,18000.0,0.018,7200,256.0,3.5,SATA 6.0 Gb/s
Corsair MP600 CORE XT,1126.54,4000.0,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel DC P3600,6499.5,1200.0,1.25,SSD,,PCIe,PCIe x4
Seagate ST6000NM0024,355.31,6000.0,0.014,7200,128.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,528.63,1000.0,0.122,SSD,,2.5,SATA 6.0 Gb/s
SK Hynix Platinum P41,411.59,1000.0,0.095,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,528.58,8000.0,0.015,5400,256.0,3.5,SATA 6.0 Gb/s
Western Digital Black SN750,333.55,1000.0,0.077,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 860 Evo,476.59,500.0,0.22,SSD,512.0,2.5,SATA 6.0 Gb/s
Seagate Surveillance HDD,311.98,1000.0,0.072,5400,64.0,3.5,SATA 6.0 Gb/s
TEAMGROUP MS30,242.6,1000.0,0.056,SSD,,M.2-2280,M.2 SATA
Samsung 970 Evo,705.85,1000.0,0.163,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600,693.24,2000.0,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,1083.25,4000.0,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP34,979.21,4000.0,0.056,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket 4.0,433.26,1000.0,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T705,714.9,1000.0,0.165,SSD,,M.2-2280,M.2 PCIe 5.0 X4
KingSpec XG7000,554.58,2000.0,0.064,SSD,,M.2-2280,M.2 PCIe 4.0 X4
