name,price,socket,form_factor,max_memory,memory_slots,color
Asus ROG STRIX Z690-A GAMING WIFI D4,1723.93,LGA1700,ATX,128,4,Silver / Black
Asus PRIME B760M-A,630.62,LGA1700,Micro ATX,128,4,Silver / Black
MSI MEG X670E ACE,2946.4,AM5,EATX,192,4,Black / Gold
ASRock X670E Taichi Carrara,1863.15,AM5,EATX,192,4,Black / White
MSI MEG Z790 ACE MAX,3033.06,LGA1700,EATX,192,4,Black
MSI PRO Z690-A WIFI DDR4,823.23,LGA1700,ATX,128,4,Black / Silver
MSI Z390-A PRO,1066.7,LGA1151,ATX,128,4,Brown / Black
Gigabyte B650M DS3H,838.57,AM5,Micro ATX,192,4,Brown / Black
Gigabyte B650M K,519.92,AM5,Micro ATX,192,4,Brown / Silver
ASRock H310CM-DVS,272.11,LGA1151,Micro ATX,32,2,Black
Asus PRIME B450M-K II,395.04,AM4,Micro ATX,64,2,Black
Asus TUF GAMING Z790-PLUS WIFI D4,866.56,LGA1700,ATX,128,4,Black
Gigabyte B550 AORUS ELITE V2,751.0,AM4,ATX,128,4,Black
Asus ROG Crosshair VIII Dark Hero,2513.1,AM4,ATX,128,4,Black / Silver
Asus PRIME Z390-A,1230.57,LGA1151,ATX,128,4,Silver / Black
ASRock Z790 Pro RS,736.57,LGA1700,ATX,192,4,Silver / Black
MSI PRO B760-VC WIFI IV,693.24,LGA1700,ATX,256,4,Black / Silver
MSI PRO Z790-VC WIFI,693.24,LGA1700,ATX,192,4,Black
Asus PRIME A520M-A II/CSM,346.6,AM4,Micro ATX,128,4,Silver / Black
MSI MPG B650 CARBON WIFI,1986.55,AM5,ATX,192,4,Black
ASRock B450M/AC,356.95,AM4,Micro ATX,64,4,Black
ASRock A520M-ITX/ac,516.36,AM4,Mini ITX,64,2,Black / Silver
MSI Z790 GAMING PRO WIFI,823.23,LGA1700,ATX,192,4,Black
Gigabyte B650 UD AC,736.57,AM5,ATX,192,4,Black / Gray
Asus PRIME B760M-A WIFI D4,816.94,LGA1700,Micro ATX,128,4,Silver / Black
Gigabyte Z390 AORUS PRO WIFI,1291.23,LGA1151,ATX,128,4,Black / Silver
ASRock B550 Pro4,518.53,AM4,ATX,128,4,Silver / Black
Gigabyte H610I,519.92,LGA1700,Mini ITX,64,2,Black
MSI MAG B660 TOMAHAWK WIFI DDR4,1020.38,LGA1700,ATX,128,4,Black / Silver
MSI MPG Z790 EDGE WIFI,1264.98,LGA1700,ATX,192,4,Silver / Black
Asus PRIME H610I-PLUS D4-CSM,489.59,LGA1700,Mini ITX,64,2,Silver / Black
ASRock B760M Steel Legend WiFi,693.24,LGA1700,Micro ATX,192,4,Silver / Black
Asus PRIME B660-PLUS D4,645.7,LGA1700,ATX,128,4,Silver / Black
MSI MAG B550M MORTAR MAX WIFI,649.91,AM4,Micro ATX,128,4,Silver / Black
Asus ROG STRIX X570-E GAMING WIFI II,1988.85,AM4,ATX,128,4,Black
Asus TUF GAMING B550-PLUS,680.28,AM4,ATX,128,4,Black
ASRock B650E PG-ITX WIFI,1256.53,AM5,Mini ITX,96,2,Black / Red
Asus TUF GAMING B650-PLUS,1128.92,AM5,ATX,128,4,Black / Orange
Asus PRIME X670-P,957.68,AM5,ATX,192,4,Silver / Black
MSI PRO B550M-P GEN3,448.9,AM4,Micro ATX,128,4,Black
ASRock B760M PG Riptide,563.25,LGA1700,Micro ATX,192,4,Black / Blue
Gigabyte B760M AORUS ELITE AX,758.23,LGA1700,Micro ATX,192,4,Black / Silver
Asus PRIME H510M-K,559.22,LGA1200,Micro ATX,64,2,Black / Silver
ASRock Z690 PG Riptide,541.58,LGA1700,ATX,128,4,Black / Silver
MSI Z490-A PRO,1425.56,LGA1200,ATX,128,4,Black / Silver
MSI PRO B760M-A WIFI,736.57,LGA1700,Micro ATX,192,4,Black
Asus PRIME H610M-K D4,465.32,LGA1700,Micro ATX,64,2,Silver / Black
Gigabyte B450M DS3H V2,445.61,AM4,Micro ATX,128,4,Black
MSI MEG Z690 ACE,970.55,LGA1700,EATX,192,4,Black / Gold
ASRock B450 Steel Legend,433.26,AM4,ATX,64,4,Black / Silver
Supermicro X10SLL-F,736.57,LGA1150,Micro ATX,32,4,Black / Green
ASRock B560M-HDV,563.25,LGA1200,Micro ATX,64,2,Silver / Black
Asus ROG STRIX Z590-E GAMING WIFI,1514.95,LGA1200,ATX,128,4,Black
MSI MPG Z790 CARBON WIFI,1904.61,LGA1700,ATX,192,4,Black
Gigabyte B760M C,606.58,LGA1700,Micro ATX,192,4,Brown / Gray
ASRock A520M-HVS,351.97,AM4,Micro ATX,64,2,Black / Silver
Gigabyte Z790 AORUS MASTER,1906.48,LGA1700,EATX,192,4,Black / Silver
Gigabyte B450 AORUS ELITE V2,549.47,AM4,ATX,128,4,Black
Asus ROG CROSSHAIR X670E GENE,2854.28,AM5,Micro ATX,96,2,Black / Silver
Gigabyte Z790 AORUS XTREME X,6984.36,LGA1700,EATX,192,4,Black
ASRock Z790 Taichi Lite,1481.84,LGA1700,EATX,192,4,Black / Gray
Asus TUF GAMING B650M-E WIFI,985.89,AM5,Micro ATX,192,4,Black
Asus TUF GAMING Z690-PLUS WIFI,953.22,LGA1700,ATX,192,4,Black / Gray
ASRock Z690 Phantom Gaming 4/D5,563.25,LGA1700,ATX,192,4,Black / Silver
Asus PRIME Z490-P,866.56,LGA1200,ATX,128,4,Black / Silver
ASRock B650E STEEL LEGEND WIFI,866.56,AM5,ATX,192,4,Black / Silver
ASRock B760 Pro RS/D4,647.78,LGA1700,ATX,128,4,Silver / Black
MSI PRO B760M-P,613.25,LGA1700,Micro ATX,192,4,Black
MSI MEG Z690 UNIFY,866.56,LGA1700,ATX,192,4,Black / Silver
Asus PRIME A520M-K,423.98,AM4,Micro ATX,64,2,Black / Silver
MSI PRO X670-P WIFI,1516.51,AM5,ATX,192,4,Black / White
Asus ROG STRIX B760-F GAMING WIFI,1074.32,LGA1700,ATX,192,4,Black
Asus PRIME Z790M-PLUS,853.56,LGA1700,Micro ATX,192,4,Silver / Black
ASRock Z690M Phantom Gaming 4,433.26,LGA1700,Micro ATX,128,4,Silver / Black
ASRock H610M-HDV/M.2+ D5,426.37,LGA1700,Micro ATX,96,2,White / Black
ASRock B760M-ITX/D4 WiFi,645.57,LGA1700,Mini ITX,64,2,Silver / Black
MSI MAG B560M MORTAR WIFI,1041.13,LGA1200,Micro ATX,128,4,Black / White
MSI MPG X570 GAMING EDGE WIFI,1295.57,AM4,ATX,128,4,Black / Silver
Asus TUF GAMING X670E-PLUS,1530.11,AM5,ATX,192,4,Black / Orange
Asus TUF GAMING B660-PLUS WIFI D4,935.1,LGA1700,ATX,128,4,Yellow / Black
MSI MAG Z790 TOMAHAWK WIFI DDR4,1151.49,LGA1700,ATX,128,4,Black
Asus PRIME B550M-K,498.17,AM4,Micro ATX,128,4,Black / White
ASRock X570 Phantom Gaming-ITX/TB3,1295.57,AM4,Mini ITX,64,2,Black / Silver
MSI MPG Z690 EDGE WIFI DDR4,1598.88,LGA1700,ATX,128,4,Black / Gray
Asus PROART B650-CREATOR,996.55,AM5,ATX,192,4,Black / Copper
Gigabyte B450 I AORUS PRO WIFI,845.06,AM4,Mini ITX,64,2,Black / Silver
MSI PRO Z790-A WIFI DDR4,844.89,LGA1700,ATX,128,4,Black / Silver
ASRock B760 Pro RS,649.91,LGA1700,ATX,192,4,Silver / Black
ASRock X670E Pro RS,953.22,AM5,ATX,192,4,Black
Gigabyte B760I AORUS PRO DDR4,823.23,LGA1700,Mini ITX,64,2,Black / Gray
Asus PRIME B450M-A,899.1,AM4,Micro ATX,64,4,Black
Gigabyte A620M GAMING X,519.92,AM5,Micro ATX,192,4,Brown / Gray
Asus PRIME B450-PLUS,567.45,AM4,ATX,64,4,Black / Silver
Gigabyte B760M D3H,628.24,LGA1700,Micro ATX,192,4,Black / Gray
Gigabyte Z790 AORUS MASTER X,2166.46,LGA1700,EATX,192,4,Black
ASRock X570 Phantom Gaming 4S,17071.02,AM4,ATX,128,4,Black
ASRock Z790M-ITX WIFI,996.55,LGA1700,Mini ITX,96,2,Black
Asus TUF GAMING B450-PLUS II,587.47,AM4,ATX,128,4,Black
Gigabyte A620M GAMING X AX,552.67,AM5,Micro ATX,192,4,Brown / Gray
ASRock H670M-ITX/ax,719.23,LGA1700,Mini ITX,64,2,Silver / Black
Gigabyte B760 DS3H AC DDR4,606.58,LGA1700,ATX,128,4,Black
Asus ROG STRIX Z390-E GAMING,1581.54,LGA1151,ATX,128,4,Black
Asus ROG STRIX B760-A GAMING WIFI D4,931.55,LGA1700,ATX,128,4,Silver / Black
