name,price,type,efficiency,wattage,modular,color
Corsair RM750x SHIFT,606.58,ATX,gold,750,Full / Side,White
SeaSonic PRIME 1300 Gold,866.56,ATX,gold,1300,Full,Black
EVGA SuperNOVA 750 G5,684.57,ATX,gold,750,Full,Black / Green
SeaSonic VERTEX GX-850,606.58,ATX,gold,850,Full,Black / Silver
Corsair RM850 (2019),821.28,ATX,gold,850,Full,Black
SeaSonic FOCUS,467.92,ATX,platinum,750,Full,Black
SeaSonic G12 GC,367.83,ATX,gold,550,false,Black / Blue
Cooler Master MWE Bronze,385.42,ATX,bronze,500,false,Black
Fractal Design Ion Gold,769.97,ATX,gold,750,Full,Black
SeaSonic PRIME TX-750,1515.25,ATX,titanium,750,Full,Black
EVGA 750 B5,423.68,ATX,bronze,750,Full,Black
SeaSonic FOCUS,303.27,ATX,gold,550,Semi,Black
Fractal Design Ion Gold,845.41,ATX,gold,850,Full,Black
EVGA SuperNOVA 550 GA,736.61,ATX,gold,550,Full,Black
Corsair RM650,888.22,ATX,gold,650,Full,Black
Silverstone ET500-ARGB,389.93,ATX,bronze,500,false,Black
Thermaltake Smart Pro RGB,775.61,ATX,bronze,650,Full,
SeaSonic G12 GM,460.73,ATX,gold,550,Semi,Black / Blue
EVGA SuperNOVA 850 GA,1122.25,ATX,gold,850,Full,Black
Corsair HX1200i,2162.17,ATX,platinum,1200,Full,
Corsair CXM,671.62,ATX,bronze,750,Semi,
Corsair CX750F,936.19,ATX,bronze,750,Full,Black
Asus ROG Strix Aura Edition,736.57,ATX,gold,850,Full,Black
NZXT C (2019),389.93,ATX,gold,650,Full,Black
Thermaltake Toughpower TF1 - TT Premium,2166.46,ATX,titanium,1550,Full,Black
EVGA SuperNOVA 750 GA,766.9,ATX,gold,750,Full,Black
Super Flower Leadex III Gold,545.91,ATX,gold,550,Full,Black
MSI MAG A1250GL PCIE5,862.27,ATX,gold,1250,Full,Black
FSP Group FSP400-60FGGBA,466.75,Flex ATX,gold,400,false,
Apevia Prestige,324.89,ATX,gold,1000,false,Black
Super Flower Leadex III ARGB,736.57,ATX,gold,750,Full,White
SeaSonic G12 GM,545.96,ATX,gold,850,Semi,Black / Blue
Enermax Revolution D.F. X,476.59,ATX,gold,850,Full,Black
Montech CENTURY G5,541.19,ATX,gold,850,Full,Black
SeaSonic PRIME TX,2424.1,ATX,titanium,1300,Full,Black / Silver
Xilence XP600R6,200.92,ATX,,600,false,Black / Red
Corsair HX850i,1715.87,ATX,platinum,850,Full,
